Session primary channel group (Default channel group),Date + hour (YYYYMMDDHH),Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Direct,2024041623,237,300,144,47.53,0.61,4.67,0.48,1402
Organic Social,2024041719,208,267,132,32.1,0.63,4.3,0.49,1147
Direct,2024041723,188,233,115,39.94,0.61,4.59,0.49,1069
Organic Social,2024041718,187,256,125,32.16,0.67,4.08,0.49,1044
Organic Social,2024041720,175,221,112,46.92,0.64,4.53,0.51,1001
Organic Social,2024041721,160,206,103,59.32,0.64,4.69,0.5,967
Organic Social,2024050119,160,219,110,40.32,0.69,4.63,0.5,1014
Direct,2024041622,158,192,94,39.02,0.59,4.06,0.49,779
Organic Social,2024041321,152,178,96,30.49,0.63,5.06,0.54,900
Organic Social,2024041516,151,211,93,64.17,0.62,4.32,0.44,911
Organic Social,2024050322,151,196,125,13.68,0.83,4.68,0.64,917
Organic Social,2024050321,150,188,120,15.49,0.8,4.58,0.64,861
Organic Social,2024042620,146,184,110,32.63,0.75,4.88,0.6,898
Organic Social,2024041700,140,191,81,20.91,0.58,3.84,0.42,734
Organic Social,2024042621,140,199,82,13.76,0.59,4.04,0.41,804
Organic Social,2024041711,139,150,88,45,0.63,5.63,0.59,844
Organic Social,2024041515,136,198,90,43.79,0.66,4.84,0.45,959
Organic Social,2024042517,135,176,88,38.69,0.65,4.19,0.5,737
Organic Social,2024041916,134,179,81,33.2,0.6,4.09,0.45,733
Organic Social,2024042616,132,176,93,30.9,0.7,4.34,0.53,764
Organic Social,2024041722,131,155,81,39.9,0.62,4.66,0.52,722
Organic Social,2024041119,130,150,93,71.06,0.72,5.8,0.62,870
Organic Social,2024041322,130,157,69,28.52,0.53,4.29,0.44,673
Organic Social,2024041513,130,157,86,44.84,0.66,4.64,0.55,728
Organic Social,2024043015,130,171,97,71.25,0.75,5.57,0.57,953
Organic Social,2024041717,129,147,89,70.78,0.69,5.25,0.61,772
Organic Social,2024050222,129,148,86,29.93,0.67,4.68,0.58,692
Direct,2024042923,128,152,70,64.13,0.55,4.65,0.46,707
Organic Social,2024042610,128,178,81,36.03,0.63,4.35,0.46,775
Organic Social,2024041000,127,200,60,25.07,0.47,3.68,0.3,735
Organic Social,2024041712,127,152,88,59.66,0.69,5.31,0.58,807
Organic Social,2024042309,124,163,77,29.48,0.62,4.64,0.47,756
Organic Social,2024042518,124,154,72,63.6,0.58,4.76,0.47,733
Organic Social,2024042619,124,157,86,37.31,0.69,5.41,0.55,850
Organic Social,2024040717,123,159,78,35.14,0.63,4.44,0.49,706
Organic Social,2024041200,122,178,79,26.19,0.65,4.19,0.44,745
Organic Social,2024041323,122,136,66,41.02,0.54,4.82,0.49,655
Organic Social,2024042622,122,144,79,27.33,0.65,4.66,0.55,671
Organic Social,2024041211,121,150,90,53.08,0.74,4.65,0.6,697
Organic Social,2024041517,121,158,73,48.48,0.6,4.25,0.46,671
Organic Social,2024041221,120,159,80,47.85,0.67,4.65,0.5,739
Organic Social,2024050300,120,166,81,39.59,0.68,4.66,0.49,774
Organic Social,2024041400,119,182,76,28.01,0.64,4.02,0.42,732
Organic Social,2024042617,119,140,81,47.42,0.68,5.68,0.58,795
Organic Social,2024050120,119,145,88,41.94,0.74,5,0.61,725
Organic Social,2024042317,118,145,75,59.2,0.64,4.86,0.52,705
Organic Social,2024050215,118,155,84,67.26,0.71,5.32,0.54,824
Organic Social,2024040723,117,139,63,40.6,0.54,4.71,0.45,655
Organic Social,2024041519,117,156,87,72.15,0.74,5.61,0.56,875
Organic Social,2024041714,117,129,80,54.37,0.68,4.74,0.62,612
Organic Social,2024042812,117,141,71,45.49,0.61,4.85,0.5,684
Organic Social,2024041708,116,145,69,25.48,0.59,4.16,0.48,603
Organic Social,2024041715,116,147,91,51.59,0.78,5.71,0.62,839
Organic Social,2024042215,116,152,78,52.51,0.67,5.11,0.51,777
Organic Social,2024042522,116,154,78,42.61,0.67,4.78,0.51,736
Organic Social,2024042318,115,131,81,88.14,0.7,5.88,0.62,770
Organic Social,2024042520,115,144,78,48.01,0.68,4.72,0.54,679
Organic Social,2024042521,115,142,75,45.31,0.65,4.44,0.53,630
Organic Social,2024041716,114,136,86,52.23,0.75,4.74,0.63,645
Organic Social,2024042611,114,141,82,87.74,0.72,6.04,0.58,852
Organic Social,2024042912,113,127,71,63.42,0.63,5.67,0.56,720
Organic Social,2024042914,113,143,84,47.22,0.74,5.32,0.59,761
Organic Social,2024041709,112,134,71,46.05,0.63,4.79,0.53,642
Organic Social,2024042516,112,169,74,29.39,0.66,4.14,0.44,700
Organic Social,2024050122,112,140,74,44.49,0.66,4.81,0.53,674
Organic Social,2024042310,111,135,83,87,0.75,4.97,0.61,671
Organic Social,2024042811,111,172,84,31.58,0.76,4.03,0.49,693
Organic Social,2024041820,110,141,82,54.7,0.75,5.16,0.58,728
Organic Social,2024050121,110,130,79,43.27,0.72,4.71,0.61,612
Organic Social,2024050221,110,126,75,68.52,0.68,5.55,0.6,699
Organic Social,2024050316,110,134,68,54.78,0.62,5.01,0.51,671
Organic Social,2024042900,109,154,69,29.45,0.63,4.27,0.45,657
Organic Social,2024043019,109,146,72,35.23,0.66,3.94,0.49,575
Organic Social,2024050223,109,138,73,30.59,0.67,4.2,0.53,579
Organic Social,2024040700,108,152,79,17.59,0.73,4.03,0.52,612
Organic Social,2024041514,108,140,68,37.56,0.63,4.18,0.49,585
Organic Social,2024042918,108,121,80,99.91,0.74,5.82,0.66,704
Organic Social,2024043021,108,117,73,47.53,0.68,5.05,0.62,591
Organic Social,2024041518,107,143,71,79.49,0.66,4.32,0.5,618
Organic Social,2024041713,107,125,69,43.47,0.64,4.41,0.55,551
Organic Social,2024042316,107,134,81,70.91,0.76,5.87,0.6,787
Organic Social,2024041210,106,130,78,60.88,0.74,5.05,0.6,656
Organic Social,2024041500,106,163,56,34.8,0.53,4.01,0.34,653
Organic Social,2024042414,106,121,87,89.12,0.82,5.88,0.72,712
Organic Social,2024041209,105,124,72,29,0.69,4.5,0.58,558
Organic Social,2024041511,105,123,78,52.93,0.74,5.71,0.63,702
Organic Social,2024041818,105,138,77,78.07,0.73,4.83,0.56,667
Organic Social,2024042217,105,134,77,73.92,0.73,5.64,0.57,756
Organic Social,2024042311,105,123,82,65.82,0.78,5.24,0.67,645
Organic Social,2024050320,105,132,73,50.55,0.7,5.14,0.55,678
Organic Social,2024043020,104,132,78,46.58,0.75,5.42,0.59,715
Organic Social,2024050310,104,116,77,70.8,0.74,5.96,0.66,691
Organic Social,2024050317,104,126,69,57.4,0.66,4.26,0.55,537
Direct,2024041722,103,132,65,34.46,0.63,3.98,0.49,525
Organic Social,2024041900,103,183,62,29.82,0.6,3.22,0.34,590
Organic Social,2024041915,103,116,69,60.83,0.67,4.81,0.59,558
Organic Social,2024042416,103,130,69,60.22,0.67,5.38,0.53,700
Organic Social,2024042800,103,171,53,18.6,0.51,3.32,0.31,567
Direct,2024040923,102,118,48,36.5,0.47,4.56,0.41,538
Direct,2024042323,102,129,58,37.36,0.57,4.08,0.45,526
Organic Social,2024040814,102,126,73,99.48,0.72,5.27,0.58,664
Organic Social,2024042500,102,156,54,18.81,0.53,3.8,0.35,593
